overcorrection_r0.8,risky_to_safe_r0.8,risky_to_neutral_r0.8,risky_to_risky_r0.8,overcorrection_r0.4,risky_to_safe_r0.4,risky_to_neutral_r0.4,risky_to_risky_r0.4,overcorrection_r0.1,risky_to_safe_r0.1,risky_to_neutral_r0.1,risky_to_risky_r0.1,test_accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,penalty_magnitude,final_loss,experiment,num_trauma,hidden_dims
0.0558,0.0558,0.0406,0.9036,0.0284,0.0284,0.0758,0.8957,0.0311,0.0311,0.0400,0.9289,0.9274,0.9308,0.9396,0.9100,1,0.3212,pedagogical,20,"[16, 8]"
0.0558,0.0558,0.0406,0.9036,0.0284,0.0284,0.0806,0.8910,0.0311,0.0311,0.0444,0.9244,0.9254,0.9292,0.9383,0.9068,10,0.3177,pedagogical,20,"[16, 8]"
0.0558,0.0558,0.0457,0.8985,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0489,0.9200,0.9254,0.9308,0.9410,0.9021,100,0.3188,pedagogical,20,"[16, 8]"
0.0558,0.0558,0.0406,0.9036,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0400,0.9289,0.9229,0.9292,0.9314,0.9068,1000,0.3316,pedagogical,20,"[16, 8]"
0.0558,0.0558,0.0508,0.8934,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0489,0.9200,0.9144,0.9214,0.9204,0.9005,10000,0.3745,pedagogical,20,"[16, 8]"
0.0579,0.0579,0.0474,0.8947,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0400,0.9289,0.9149,0.9193,0.9203,0.9042,1,0.2925,realistic,5,"[64, 32, 16]"
0.0526,0.0526,0.0526,0.8947,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0444,0.9244,0.9129,0.9003,0.9324,0.9026,10,0.2937,realistic,5,"[64, 32, 16]"
0.0579,0.0579,0.0421,0.9000,0.0284,0.0284,0.0900,0.8815,0.0311,0.0311,0.0356,0.9333,0.9154,0.9051,0.9324,0.9058,100,0.2991,realistic,5,"[64, 32, 16]"
0.0526,0.0526,0.0632,0.8842,0.0284,0.0284,0.0900,0.8815,0.0311,0.0311,0.0578,0.9111,0.9099,0.8940,0.9378,0.8930,1000,0.3002,realistic,5,"[64, 32, 16]"
0.0526,0.0526,0.0474,0.9000,0.0284,0.0284,0.0806,0.8910,0.0311,0.0311,0.0444,0.9244,0.9114,0.8940,0.9311,0.9058,10000,0.3083,realistic,5,"[64, 32, 16]"
